Date,Time,Group,Pixel,Area,Plant,Area per plant,No.,
2023/5/9,18:01:15,2-lower,76725,128.59,12,10.72,0,1
2023/5/9,18:01:37,2-mid,61557,101.88,9,11.32,1,2
2023/5/9,18:02:01,1-upper,47427,84.69,9,9.41,2,3
2023/5/9,18:02:22,2-upper,36704,65.54,9,7.28,3,4
2023/5/9,18:02:43,3-lower,80267,136.21,10,13.62,4,5
2023/5/9,18:03:07,3-mid,81350,136.32,12,11.36,5,6
2023/5/9,18:03:29,3-upper,44071,85.16,9,9.46,7,7
2023/5/9,18:03:53,1-mid,43726,78.11,9,8.68,8,8
2023/5/9,18:04:15,1-lower,84458,143.37,11,13.03,9,9
2023/5/9,18:34:36,2-lower,82612,138.46,12,11.54,0,10
2023/5/9,18:34:52,2-mid,65753,108.83,9,12.09,1,11
2023/5/9,18:35:09,1-upper,49020,87.54,9,9.73,2,12
2023/5/9,18:35:25,2-upper,37948,67.76,9,7.53,3,13
2023/5/9,18:35:51,3-lower,86881,147.44,10,14.74,4,14
2023/5/9,18:36:08,3-mid,86480,144.92,12,12.08,5,15
2023/5/9,18:36:24,3-upper,47007,90.84,9,10.09,7,16
2023/5/9,18:36:40,1-mid,44633,79.73,9,8.86,8,17
2023/5/9,18:36:56,1-lower,90046,152.86,11,13.9,9,18
2023/5/9,19:07:15,2-lower,87804,147.16,12,12.26,0,19
2023/5/9,19:07:36,2-mid,69895,115.68,9,12.85,1,20
2023/5/9,19:07:56,1-upper,50331,89.88,9,9.99,2,21
2023/5/9,19:08:12,2-upper,39939,71.32,9,7.92,3,22
2023/5/9,19:08:29,3-lower,93047,157.9,10,15.79,4,23
2023/5/9,19:08:45,3-mid,91020,152.53,12,12.71,5,24
2023/5/9,19:09:01,3-upper,50309,97.22,9,10.8,7,25
2023/5/9,19:09:17,1-mid,46629,83.29,9,9.25,8,26
2023/5/9,19:09:33,1-lower,95464,162.05,11,14.73,9,27
2023/5/9,19:39:51,2-lower,93299,156.37,12,13.03,0,28
2023/5/9,19:40:07,2-mid,72836,120.55,9,13.39,1,29
2023/5/9,19:40:24,1-upper,52577,93.89,9,10.43,2,30
2023/5/9,19:40:40,2-upper,42078,75.14,9,8.35,3,31
2023/5/9,19:40:56,3-lower,98329,166.86,10,16.69,4,32
2023/5/9,19:41:14,3-mid,93981,157.49,12,13.12,5,33
2023/5/9,19:41:33,3-upper,52904,102.23,9,11.36,7,34
2023/5/9,19:41:51,1-mid,49460,88.35,9,9.82,8,35
2023/5/9,19:42:08,1-lower,102864,174.61,11,15.87,9,36
2023/5/9,20:12:26,2-lower,92113,154.39,12,12.87,0,37
2023/5/9,20:12:48,2-mid,73224,121.19,9,13.47,1,38
2023/5/9,20:13:07,1-upper,52887,94.44,9,10.49,2,39
2023/5/9,20:13:25,2-upper,43670,77.98,9,8.66,3,40
2023/5/9,20:13:42,3-lower,99626,169.06,10,16.91,4,41
2023/5/9,20:14:00,3-mid,94871,158.98,12,13.25,5,42
2023/5/9,20:14:18,3-upper,53970,104.29,9,11.59,7,43
2023/5/9,20:14:35,1-mid,50996,91.09,9,10.12,8,44
2023/5/9,20:14:53,1-lower,103393,175.51,11,15.96,9,45
2023/5/9,20:45:10,2-lower,92560,155.13,12,12.93,0,46
2023/5/9,20:45:24,2-mid,73170,121.1,9,13.46,1,47
2023/5/9,20:45:38,1-upper,53604,95.72,9,10.64,2,48
2023/5/9,20:45:52,2-upper,44755,79.92,9,8.88,3,49
2023/5/9,20:46:05,3-lower,101033,171.45,10,17.15,4,50
2023/5/9,20:46:19,3-mid,94929,159.08,12,13.26,5,51
2023/5/9,20:46:33,3-upper,55154,106.58,9,11.84,7,52
2023/5/9,20:46:47,1-mid,52670,94.08,9,10.45,8,53
2023/5/9,20:47:00,1-lower,105947,179.85,11,16.35,9,54
2023/5/9,21:17:15,2-lower,93558,156.81,12,13.07,0,55
2023/5/9,21:17:29,2-mid,73468,121.6,9,13.51,1,56
2023/5/9,21:17:44,1-upper,54193,96.77,9,10.75,2,57
2023/5/9,21:17:57,2-upper,44915,80.21,9,8.91,3,58
2023/5/9,21:18:11,3-lower,101938,172.99,10,17.3,4,59
2023/5/9,21:18:24,3-mid,95220,159.57,12,13.3,5,60
