,Date,Time,Group,Pixel,Area,Plant,Area per plant,No.
0,2023/4/11,20:38:16,2-lower,914767,1533.19,12,127.77,0
1,2023/4/11,20:38:26,2-mid,719009,1190.03,11,108.18,1
2,2023/4/11,20:38:38,1-upper,827799,1478.21,10,147.82,2
3,2023/4/11,20:38:50,2-upper,727688,1299.44,11,118.13,3
4,2023/4/11,20:39:01,3-lower,788481,1338.05,10,133.8,4
5,2023/4/11,20:39:13,3-mid,769554,1289.6,12,107.47,5
6,2023/4/11,20:39:24,3-upper,841245,1625.65,10,162.56,7
7,2023/4/11,20:39:36,1-mid,694266,1240.17,9,137.8,8
8,2023/4/11,20:39:48,1-lower,901677,1530.62,11,139.15,9
9,2023/4/11,21:12:37,2-lower,914062,1532.01,12,127.67,0
10,2023/4/11,21:12:46,2-mid,718429,1189.07,11,108.1,1
11,2023/4/11,21:12:56,1-upper,827601,1477.86,10,147.79,2
12,2023/4/11,21:13:07,2-upper,726951,1298.13,11,118.01,3
13,2023/4/11,21:13:17,3-lower,785205,1332.49,10,133.25,4
14,2023/4/11,21:13:27,3-mid,766809,1285.0,12,107.08,5
15,2023/4/11,21:13:37,3-upper,841402,1625.95,10,162.6,7
16,2023/4/11,21:13:47,1-mid,692832,1237.61,9,137.51,8
17,2023/4/11,21:13:58,1-lower,900944,1529.38,11,139.03,9
18,2023/4/11,21:46:47,2-lower,916213,1535.61,12,127.97,0
19,2023/4/11,21:46:56,2-mid,719484,1190.81,11,108.26,1
20,2023/4/11,21:47:06,1-upper,829165,1480.65,10,148.07,2
21,2023/4/11,21:47:17,2-upper,729267,1302.26,11,118.39,3
22,2023/4/11,21:47:27,3-lower,785931,1333.72,10,133.37,4
23,2023/4/11,21:47:38,3-mid,765220,1282.34,12,106.86,5
24,2023/4/11,21:47:48,3-upper,842886,1628.82,10,162.88,7
25,2023/4/11,21:47:58,1-mid,692586,1237.17,9,137.46,8
26,2023/4/11,21:48:08,1-lower,902818,1532.56,11,139.32,9
27,2023/4/11,22:20:56,2-lower,917132,1537.15,12,128.1,0
28,2023/4/11,22:21:05,2-mid,719641,1191.07,11,108.28,1
29,2023/4/11,22:21:15,1-upper,829611,1481.45,10,148.14,2
30,2023/4/11,22:21:26,2-upper,730508,1304.48,11,118.59,3
31,2023/4/11,22:21:36,3-lower,786221,1334.21,10,133.42,4
32,2023/4/11,22:21:46,3-mid,764124,1280.5,12,106.71,5
33,2023/4/11,22:21:56,3-upper,844052,1631.07,10,163.11,7
34,2023/4/11,22:22:07,1-mid,690984,1234.31,9,137.15,8
35,2023/4/11,22:22:18,1-lower,902782,1532.5,11,139.32,9
36,2023/4/11,22:54:56,2-lower,919216,1540.65,12,128.39,0
37,2023/4/11,22:55:04,2-mid,720528,1192.54,11,108.41,1
38,2023/4/11,22:55:14,1-upper,830749,1483.48,10,148.35,2
39,2023/4/11,22:55:23,2-upper,733193,1309.27,11,119.02,3
40,2023/4/11,22:55:33,3-lower,788934,1338.82,10,133.88,4
41,2023/4/11,22:55:42,3-mid,765762,1283.25,12,106.94,5
42,2023/4/11,22:55:52,3-upper,845564,1634.0,10,163.4,7
43,2023/4/11,22:56:02,1-mid,692050,1236.22,9,137.36,8
44,2023/4/11,22:56:11,1-lower,906776,1539.28,11,139.93,9
45,2023/4/11,23:28:55,2-lower,922190,1545.63,12,128.8,0
46,2023/4/11,23:29:04,2-mid,722899,1196.46,11,108.77,1
47,2023/4/11,23:29:14,1-upper,832187,1486.05,10,148.6,2
48,2023/4/11,23:29:23,2-upper,735707,1313.76,11,119.43,3
49,2023/4/11,23:29:33,3-lower,792068,1344.13,10,134.41,4
50,2023/4/11,23:29:43,3-mid,769425,1289.39,12,107.45,5
51,2023/4/11,23:29:53,3-upper,847751,1638.22,10,163.82,7
52,2023/4/11,23:30:03,1-mid,693744,1239.24,9,137.69,8
53,2023/4/11,23:30:13,1-lower,910333,1545.32,11,140.48,9
54,2023/4/12,0:02:50,2-lower,923692,1548.15,12,129.01,0
55,2023/4/12,0:02:59,2-mid,724728,1199.49,11,109.04,1
56,2023/4/12,0:03:08,1-upper,832760,1487.07,10,148.71,2
57,2023/4/12,0:03:18,2-upper,737276,1316.56,11,119.69,3
58,2023/4/12,0:03:27,3-lower,794584,1348.4,10,134.84,4
59,2023/4/12,0:03:36,3-mid,771963,1293.64,12,107.8,5
60,2023/4/12,0:03:46,3-upper,848931,1640.5,10,164.05,7
