,空调光期温度设定,空调暗期温度设定,空调温度上限设定,空调温度下限设定,新风机手动开度,新风机手自动模式,空调自动模式,户外温度,户外湿度,1号室内温度,1号室内湿度,1号室内CO2浓度,2号室内温度,2号室内湿度,2号室内CO2浓度,1号PPFD,1号色温,1号PAR,1号红比,1号绿比,1号蓝比,2号PPFD,2号色温,2号PAR,2号红比,2号绿比,2号蓝比,3号PPFD,3号色温,3号PAR,3号红比,3号绿比,3号蓝比,1号风速,2号风速,营养液EC,营养液PH,营养液液温,空调手动开关机,空调开机指令下发,空调手动模式选择,空调风速选择,空调手动温度设定,空调手动操作指令下发,空调手自动切换,电磁阀手自动选择,电磁阀手动开阀,电磁阀手动关阀,time,平均温度,平均湿度,灯具负荷,自然负荷,新风负荷,总热渗入量,CO2_diff,co2
2023-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,24.5,21.600000381469727,19.5,18.5,0.0,True,True,33.09027862548828,74.19342803955078,26.100000381469727,79.4000015258789,937.0,25.100000381469727,82.5999984741211,916.0,197.9482879638672,4328.34228515625,42.08853530883789,21.56244850158692,75.00458526611328,3.567466974258423,180.81793212890625,4068.814697265625,38.06025314331055,22.32111930847168,74.20143127441406,3.6180672645568848,153.10369873046875,5728.12109375,34.45782470703125,14.601667404174805,81.4749984741211,4.057117462158203,1.100000023841858,1.0,1.7699999809265137,4.710000038146973,25.200000762939453,True,True,3.0,6.0,23.89999961853028,True,False,False,False,False,2023-05-15 08:59:13.837891,25.600000381469727,81.0,0,5.804405459210874,5.804405459210874,11.608810918421748,3.0,926.5
2023-05-16,24.5,21.600000381469727,19.5,18.5,100.0,True,True,39.00463104248047,99.86617279052734,27.5,84.30000305175781,1036.0,25.600000381469727,85.5,994.0,1770.6820068359375,13739.291015625,435.46185302734375,23.850812911987305,87.12242889404297,5.55936861038208,1804.472900390625,11258.04296875,444.6230163574219,22.73369407653809,83.57594299316406,6.033735752105713,1812.2418212890625,11297.4970703125,446.7128601074219,22.01893615722656,90.90130615234376,6.368977069854736,1.100000023841858,1.100000023841858,1.7899999618530271,4.739999771118164,25.200000762939453,True,True,3.0,6.0,23.89999961853028,True,False,False,False,False,2023-05-16 08:59:05.475174,26.100000381469727,84.70000076293945,0,9.665095234251025,9.665095234251025,19.33019046850205,62.5,1015.0
2023-05-17,24.5,21.600000381469727,19.5,18.5,100.0,True,True,33.04977035522461,100.0,27.200000762939453,88.5999984741211,5000.0,25.5,90.0,5000.0,1740.447998046875,10939.388671875,427.7339477539063,89.80118560791016,88.92638397216797,9.190113067626951,1786.2802734375,12494.443359375,440.9979248046875,87.93382263183594,86.42356872558594,11.017784118652344,1769.2548828125,17349.01953125,437.1941833496094,84.86166381835938,91.10467529296876,13.43828010559082,1.100000023841858,1.100000023841858,2.0199999809265137,5.699999809265137,25.299999237060547,True,True,3.0,6.0,23.89999961853028,True,False,False,False,True,2023-05-17 08:59:58.628896,26.149999618530277,89.25,0,5.84682616037607,5.84682616037607,11.69365232075214,971.0,5000.0
2023-05-18,24.5,21.600000381469727,19.5,18.5,100.0,True,True,22.413196563720703,100.0,26.100000381469727,90.5,1022.0,25.600000381469727,90.5,996.0,1690.9918212890625,6914.92919921875,415.8517150878906,27.0424747467041,82.63571166992188,10.406184196472168,1747.4925537109375,11143.1953125,432.2357482910156,34.932132720947266,82.35186767578125,6.023502826690674,1747.1783447265625,11313.7568359375,432.4036865234375,22.075284957885746,91.0447998046875,6.386926651000977,1.100000023841858,1.100000023841858,0.0,0.0,0.0,True,True,3.0,6.0,23.89999961853028,True,False,False,False,False,2023-05-18 08:59:43.958577,25.850000381469727,90.5,0,-0.4034815118265152,-0.0366801374387741,-0.4401616492652893,71.5,1009.0
2023-05-19,24.5,21.600000381469727,19.5,18.5,100.0,True,True,24.04224395751953,100.0,26.200000762939453,88.69999694824219,578.0,25.700000762939453,89.0,584.0,1652.2666015625,7784.9208984375,405.8883056640625,24.95113945007324,88.82357025146484,10.398030281066896,7128.18408203125,11669.51953125,1589.0133056640625,22.869279861450195,87.15386962890625,6.049446105957031,1702.9849853515625,11278.7421875,420.4746398925781,21.966598510742188,90.99378204345705,6.35835075378418,1.100000023841858,1.100000023841858,1.940000057220459,5.710000038146973,25.200000762939453,True,True,1.0,6.0,23.799999237060547,True,False,False,False,False,2023-05-19 08:59:37.112583,25.90000057220459,88.75,0,-0.4106624711465911,-0.0373329519224173,-0.4479954230690085,13.0,580.5
2023-05-20,24.5,21.600000381469727,19.5,18.5,100.0,True,True,29.67303466796875,100.0,27.100000381469727,89.19999694824219,5000.0,26.299999237060547,89.5,5000.0,1629.06396484375,8823.6708984375,400.9277648925781,56.703857421875,86.48136138916016,8.663199424743652,1692.7099609375,11062.623046875,419.6860656738281,80.69976806640625,83.30934143066406,10.670650482177734,1691.4481201171875,11259.7763671875,419.6819763183594,21.966175079345703,90.92858123779295,6.346240997314453,1.100000023841858,1.100000023841858,1.899999976158142,5.53000020980835,25.5,True,True,1.0,6.0,23.799999237060547,True,False,False,False,False,2023-05-20 08:59:26.775089,26.699999809265137,89.0,0,3.3355617243075346,3.3355617243075346,6.671123448615069,1524.0,5000.0
2023-05-21,24.5,21.600000381469727,19.5,18.5,100.0,True,True,27.79513931274414,100.0,27.0,89.5999984741211,778.0,26.39999961853028,89.9000015258789,784.0,1592.6427001953125,7710.814453125,391.3654479980469,26.99710464477539,86.8376235961914,7.3160271644592285,1600.15966796875,12144.4072265625,393.9497985839844,80.51557922363281,83.45182037353516,9.395340919494627,1608.78955078125,12320.2353515625,394.4234619140625,22.021804809570312,91.46884155273438,6.46958065032959,1.100000023841858,1.100000023841858,1.8799999952316284,5.320000171661377,25.799999237060547,True,True,1.0,6.0,23.89999961853028,True,False,False,False,False,2023-05-21 08:59:30.213555,26.649999618530277,89.5,0,2.6704620881009107,2.6704620881009107,5.340924176201821,46.5,781.0
