,户外温度,早上九点到第二天早上九点,
2023/5/15,33.09027863,33.04,
2023/5/16,39.00463104,31.54,
2023/5/17,33.04977036,24.32,
2023/5/18,22.41319656,23.28,
2023/5/19,24.04224396,26.13333333,
2023/5/20,29.67303467,22.41,
2023/5/21,27.79513931,26.67,
2023/5/22,28.98147964,23.11,
2023/5/23,24.93344879,27.67,
2023/5/24,29.57465363,30.06,
2023/5/25,27.10647964,32.85 * 3,
2023/5/26,32.84722137,,
2023/5/27,29.07986069,,
2023/5/28,31.64641571,27.97,
2023/5/29,36.5856514,29.69,
2023/5/30,39.3518486,31.57,
2023/5/31,29.96817017,29,
2023/6/1,30.46295929,35.49,
2023/6/2,33.52430344,29 * 3,
2023/6/3,36.68402863,,
2023/6/4,28.8830986,,
2023/6/5,25.42534637,35.49,
2023/6/6,23.05555344,29.3,
2023/6/7,30.38772964,,
2023/6/8,,,
2023/6/9,,,关闭空调
