,date,record cost,diff cost
0,2023/5/4 9:00,3458.73,
1,2023/5/5 9:00,3487.21,28.48
2,2023/5/6 9:00,3516.16,28.95
3,2023/5/8 9:00,3567.91,25.875
4,2023/5/9 9:00,3594.91,27
5,2023/5/10 9:00,3624.85,29.94
6,2023/5/11 9:00,3651.52,26.67
7,2023/5/12 9:00,3679.16,27.64
8,2023/5/15 9:00,3771.02,30.62
9,2023/5/16 9:00,3804.06,33.04
10,2023/5/17 9:00,3835.6,31.54
11,2023/5/18 9:00,3859.92,24.32
12,2023/5/19 9:00,3883.2,23.28
13,2023/5/22 9:00,3961.6,26.13333333
14,2023/5/23 9:00,3984.01,22.41
15,2023/5/24 9:00,4010.68,26.67
16,2023/5/25 9:00,4033.79,23.11
17,2023/5/26 9:00,4061.46,27.67
18,2023/5/29 9:00,4151.64,30.06
19,2023/5/30 9:00,4184.49,32.85
20,2023/5/31 9:00,4212.46,27.97
21,2023/6/1 9:00,4242.15,29.69
22,2023/6/2 9:00,4273.72,31.57
23,2023/6/5 9:00,4360.72,29
24,2023/6/6 9:00,4396.21,35.49
25,2023/6/7 9:00,4425.51,29.3
